Origin State,Dest State,Year,Measure Names,Domestic,Export,Import,Sum
Illinois,Alabama,2022,Current Value (millions of dollars),6371.765711,193.694186,207.116471,6772.576368
Illinois,Alaska,2022,Current Value (millions of dollars),169.078774,710.012211,1.324009,880.414994
Illinois,Arizona,2022,Current Value (millions of dollars),4514.078923,467.484338,199.322253,5180.885514
Illinois,Arkansas,2022,Current Value (millions of dollars),4219.628317,0,241.618984,4461.247301
Illinois,California,2022,Current Value (millions of dollars),25524.21216,6024.79471,7211.326356,38760.33323
Illinois,Colorado,2022,Current Value (millions of dollars),5816.523377,4.751627,190.980019,6012.255023
Illinois,Connecticut,2022,Current Value (millions of dollars),3530.764401,3.543046,289.204181,3823.511628
Illinois,Delaware,2022,Current Value (millions of dollars),825.458065,10.111952,152.237797,987.807814
Illinois,District of Columbia,2022,Current Value (millions of dollars),469.572597,32.09914,51.872774,553.544511
Illinois,Florida,2022,Current Value (millions of dollars),15350.43211,3698.568941,853.075913,19902.07696
Illinois,Georgia,2022,Current Value (millions of dollars),13708.64745,1242.804932,2601.63206,17553.08444
Illinois,Hawaii,2022,Current Value (millions of dollars),527.195802,48.53526,3.019343,578.750405
Illinois,Idaho,2022,Current Value (millions of dollars),935.410349,0.680224,50.914319,987.004892
Illinois,Illinois,2022,Current Value (millions of dollars),567536.9335,23429.91449,102018.7033,692985.5513
Illinois,Indiana,2022,Current Value (millions of dollars),84646.13813,256.988879,39998.21525,124901.3423
Illinois,Iowa,2022,Current Value (millions of dollars),21136.57604,0,2433.535912,23570.11195
Illinois,Kansas,2022,Current Value (millions of dollars),7194.593821,0,1143.71229,8338.306111
Illinois,Kentucky,2022,Current Value (millions of dollars),17207.376,1739.962414,16443.12357,35390.46198
Illinois,Louisiana,2022,Current Value (millions of dollars),24186.02525,2095.346917,131.006221,26412.37839
Illinois,Maine,2022,Current Value (millions of dollars),530.570171,71.369468,54.281387,656.221026
Illinois,Maryland,2022,Current Value (millions of dollars),6674.54276,856.942187,251.73479,7783.219737
Illinois,Massachusetts,2022,Current Value (millions of dollars),4778.762254,104.932971,966.611221,5850.306446
Illinois,Michigan,2022,Current Value (millions of dollars),35584.29957,13665.39322,7185.700095,56435.39289
Illinois,Minnesota,2022,Current Value (millions of dollars),17681.43903,48.308268,1670.273714,19400.02101
Illinois,Mississippi,2022,Current Value (millions of dollars),4298.50793,50.869194,917.032545,5266.409669
Illinois,Missouri,2022,Current Value (millions of dollars),29346.91835,7.499661,1839.354426,31193.77244
Illinois,Montana,2022,Current Value (millions of dollars),703.966312,751.096591,4.000646,1459.063549
Illinois,Nebraska,2022,Current Value (millions of dollars),5936.540688,0,264.879417,6201.420105
Illinois,Nevada,2022,Current Value (millions of dollars),3758.995419,0,159.408541,3918.40396
Illinois,New Hampshire,2022,Current Value (millions of dollars),1991.31177,0.227029,67.787956,2059.326755
Illinois,New Jersey,2022,Current Value (millions of dollars),6748.449068,473.656744,5119.815248,12341.92106
Illinois,New Mexico,2022,Current Value (millions of dollars),1218.092575,10.306607,26.818719,1255.217901
Illinois,New York,2022,Current Value (millions of dollars),13361.66877,6253.843925,2447.756426,22063.26912
Illinois,North Carolina,2022,Current Value (millions of dollars),10505.10592,94.094057,1234.465588,11833.66557
Illinois,North Dakota,2022,Current Value (millions of dollars),3491.617681,7204.227397,276.34017,10972.18525
Illinois,Ohio,2022,Current Value (millions of dollars),32368.84582,135.482677,5393.302814,37897.63131
Illinois,Oklahoma,2022,Current Value (millions of dollars),3606.100477,0,489.276893,4095.37737
Illinois,Oregon,2022,Current Value (millions of dollars),2214.169698,52.790969,280.038235,2546.998902
Illinois,Pennsylvania,2022,Current Value (millions of dollars),15714.94189,755.305706,2801.037166,19271.28476
Illinois,Rhode Island,2022,Current Value (millions of dollars),499.10858,0.253444,37.569129,536.931153
Illinois,South Carolina,2022,Current Value (millions of dollars),3971.577863,333.017375,378.286477,4682.881715
Illinois,South Dakota,2022,Current Value (millions of dollars),1787.537729,5.509212,123.768149,1916.81509
Illinois,Tennessee,2022,Current Value (millions of dollars),11763.04934,1316.25926,10004.58558,23083.89418
Illinois,Texas,2022,Current Value (millions of dollars),32471.66691,10797.78328,3176.583055,46446.03325
Illinois,Utah,2022,Current Value (millions of dollars),2565.718736,0.079156,281.172304,2846.970196
Illinois,Vermont,2022,Current Value (millions of dollars),618.136897,16.296956,10.758458,645.192311
Illinois,Virginia,2022,Current Value (millions of dollars),7862.569503,3244.051123,696.949494,11803.57012
Illinois,Washington,2022,Current Value (millions of dollars),5203.999596,983.979391,331.045557,6519.024544
Illinois,West Virginia,2022,Current Value (millions of dollars),953.778655,,86.111879,1039.890534
Illinois,Wisconsin,2022,Current Value (millions of dollars),62924.86487,0.133696,11322.53574,74247.53431
Illinois,Wyoming,2022,Current Value (millions of dollars),890.72911,0,23.643133,914.372243
