Origin State,Dest State,Year,Measure Names,Domestic,Export,Import,Sum
New York,Alabama,2022,Current Value (millions of dollars),3927.082193,4.920101,1071.687111,5003.689405
New York,Alaska,2022,Current Value (millions of dollars),478.541801,898.978421,10.460476,1387.980698
New York,Arizona,2022,Current Value (millions of dollars),3482.923134,52.488133,265.147673,3800.55894
New York,Arkansas,2022,Current Value (millions of dollars),1872.070934,0,110.815831,1982.886765
New York,California,2022,Current Value (millions of dollars),27389.22468,893.532589,7915.901812,36198.65908
New York,Colorado,2022,Current Value (millions of dollars),3001.555539,0,333.428736,3334.984275
New York,Connecticut,2022,Current Value (millions of dollars),20351.68772,0.134129,3249.681109,23601.50296
New York,Delaware,2022,Current Value (millions of dollars),2044.12001,51.802108,2961.629554,5057.551672
New York,District of Columbia,2022,Current Value (millions of dollars),478.60028,77.773071,612.857159,1169.23051
New York,Florida,2022,Current Value (millions of dollars),15165.01571,1217.038902,3793.320772,20175.37538
New York,Georgia,2022,Current Value (millions of dollars),8386.42941,125.85694,2197.558166,10709.84452
New York,Hawaii,2022,Current Value (millions of dollars),466.268339,41.032497,15.125345,522.426181
New York,Idaho,2022,Current Value (millions of dollars),1175.530258,2.680713,95.500004,1273.710975
New York,Illinois,2022,Current Value (millions of dollars),13875.39782,605.06353,6648.939076,21129.40043
New York,Indiana,2022,Current Value (millions of dollars),6836.582368,5.591352,1250.244982,8092.418702
New York,Iowa,2022,Current Value (millions of dollars),2373.655754,0,196.332415,2569.988169
New York,Kansas,2022,Current Value (millions of dollars),1452.486571,0.088103,138.139983,1590.714657
New York,Kentucky,2022,Current Value (millions of dollars),4795.36308,1765.781228,1216.565462,7777.70977
New York,Louisiana,2022,Current Value (millions of dollars),1797.643583,70.236736,138.347757,2006.228076
New York,Maine,2022,Current Value (millions of dollars),2511.063813,106.094363,408.359588,3025.517764
New York,Maryland,2022,Current Value (millions of dollars),6053.697572,192.77243,2683.953101,8930.423103
New York,Massachusetts,2022,Current Value (millions of dollars),22323.20268,40.850601,6737.000036,29101.05332
New York,Michigan,2022,Current Value (millions of dollars),9448.776621,1458.017062,3548.363842,14455.15753
New York,Minnesota,2022,Current Value (millions of dollars),3494.279802,10.59376,442.234707,3947.108269
New York,Mississippi,2022,Current Value (millions of dollars),6832.223645,2.99931,330.933579,7166.156534
New York,Missouri,2022,Current Value (millions of dollars),3692.483438,0,380.289603,4072.773041
New York,Montana,2022,Current Value (millions of dollars),236.536404,58.722812,20.111338,315.370554
New York,Nebraska,2022,Current Value (millions of dollars),684.962951,0,55.512689,740.47564
New York,Nevada,2022,Current Value (millions of dollars),1933.181098,0,232.716646,2165.897744
New York,New Hampshire,2022,Current Value (millions of dollars),3816.567097,0,2582.63546,6399.202557
New York,New Jersey,2022,Current Value (millions of dollars),55932.241,3662.447625,23478.68616,83073.37479
New York,New Mexico,2022,Current Value (millions of dollars),676.744332,0.107953,77.394981,754.247266
New York,New York,2022,Current Value (millions of dollars),391129.9763,93554.19684,93142.88292,577827.0561
New York,North Carolina,2022,Current Value (millions of dollars),9052.644805,30.473842,4351.314953,13434.4336
New York,North Dakota,2022,Current Value (millions of dollars),423.188537,307.874084,175.766173,906.828794
New York,Ohio,2022,Current Value (millions of dollars),18449.94689,14.552086,5583.916392,24048.41537
New York,Oklahoma,2022,Current Value (millions of dollars),2659.466147,0,465.625952,3125.092099
New York,Oregon,2022,Current Value (millions of dollars),3082.540829,0.373794,159.211641,3242.126264
New York,Pennsylvania,2022,Current Value (millions of dollars),43335.47472,857.977958,27215.02496,71408.47764
New York,Rhode Island,2022,Current Value (millions of dollars),2386.809291,2.904605,404.276581,2793.990477
New York,South Carolina,2022,Current Value (millions of dollars),5189.711649,74.238495,2985.750022,8249.700166
New York,South Dakota,2022,Current Value (millions of dollars),353.909816,4.851656,38.357321,397.118793
New York,Tennessee,2022,Current Value (millions of dollars),6810.860833,2240.788062,1901.872056,10953.52095
New York,Texas,2022,Current Value (millions of dollars),20519.16873,3175.026459,4746.908666,28441.10386
New York,Utah,2022,Current Value (millions of dollars),1682.866108,58.842415,185.168271,1926.876794
New York,Vermont,2022,Current Value (millions of dollars),4771.983638,52.662782,414.152405,5238.798825
New York,Virginia,2022,Current Value (millions of dollars),6894.187508,198.681958,2530.061613,9622.931079
New York,Washington,2022,Current Value (millions of dollars),3630.434351,289.158315,370.333541,4289.926207
New York,West Virginia,2022,Current Value (millions of dollars),1156.252814,0,996.107792,2152.360606
New York,Wisconsin,2022,Current Value (millions of dollars),4741.848515,0.002592,469.089181,5210.940288
New York,Wyoming,2022,Current Value (millions of dollars),189.204713,0,29.807445,219.012158
