Origin State,Dest State,Year,Measure Names,Domestic,Export,Import,Sum
California,Alabama,2022,Current Value (millions of dollars),11580.57585,18.45541,1181.574215,12780.60548
California,Alaska,2022,Current Value (millions of dollars),990.912856,3294.960006,324.051685,4609.924547
California,Arizona,2022,Current Value (millions of dollars),47801.23771,1114.209434,11461.1083,60376.55544
California,Arkansas,2022,Current Value (millions of dollars),3209.080002,0,1339.625995,4548.705997
California,California,2022,Current Value (millions of dollars),1387216.283,148477.6864,394888.7413,1930582.711
California,Colorado,2022,Current Value (millions of dollars),17186.274,21.922544,6715.3031,23923.49964
California,Connecticut,2022,Current Value (millions of dollars),7032.398188,0.022875,408.798904,7441.219967
California,Delaware,2022,Current Value (millions of dollars),1298.366111,15.173362,379.569084,1693.108557
California,District of Columbia,2022,Current Value (millions of dollars),919.762885,175.387892,35.971386,1131.122163
California,Florida,2022,Current Value (millions of dollars),40801.77297,3070.094556,3299.497255,47171.36478
California,Georgia,2022,Current Value (millions of dollars),19244.98433,371.097645,9221.89124,28837.97322
California,Hawaii,2022,Current Value (millions of dollars),12526.748,194.386152,100.917856,12822.05201
California,Idaho,2022,Current Value (millions of dollars),5199.075619,0.141743,921.081744,6120.299106
California,Illinois,2022,Current Value (millions of dollars),27728.14515,979.113986,18092.91419,46800.17333
California,Indiana,2022,Current Value (millions of dollars),12680.24671,4.941651,10020.66573,22705.85409
California,Iowa,2022,Current Value (millions of dollars),4933.529993,0,1593.860743,6527.390736
California,Kansas,2022,Current Value (millions of dollars),7795.718467,0.040661,4536.592734,12332.35186
California,Kentucky,2022,Current Value (millions of dollars),9662.996732,4437.485045,9046.538324,23147.0201
California,Louisiana,2022,Current Value (millions of dollars),5556.739084,103.044138,427.281247,6087.064469
California,Maine,2022,Current Value (millions of dollars),1383.370686,333.578929,17.132786,1734.082401
California,Maryland,2022,Current Value (millions of dollars),10582.10941,329.084387,373.064566,11284.25836
California,Massachusetts,2022,Current Value (millions of dollars),12332.81864,18.195344,4672.444363,17023.45835
California,Michigan,2022,Current Value (millions of dollars),13528.75141,9119.972989,7466.385499,30115.1099
California,Minnesota,2022,Current Value (millions of dollars),11628.11233,27.975888,6553.214078,18209.3023
California,Mississippi,2022,Current Value (millions of dollars),8693.188879,1.08185,3442.488183,12136.75891
California,Missouri,2022,Current Value (millions of dollars),12564.5537,0.032643,6577.310641,19141.89698
California,Montana,2022,Current Value (millions of dollars),2404.10007,2227.788192,131.38052,4763.268782
California,Nebraska,2022,Current Value (millions of dollars),2862.687335,0,1290.872431,4153.559766
California,Nevada,2022,Current Value (millions of dollars),43454.78529,53.360144,10271.17948,53779.32491
California,New Hampshire,2022,Current Value (millions of dollars),2900.888502,200.500476,281.188812,3382.57779
California,New Jersey,2022,Current Value (millions of dollars),24499.83697,672.224464,6949.381312,32121.44275
California,New Mexico,2022,Current Value (millions of dollars),3937.501321,223.826089,1101.691467,5263.018877
California,New York,2022,Current Value (millions of dollars),27480.05953,4953.08494,10390.47965,42823.62412
California,North Carolina,2022,Current Value (millions of dollars),14434.00298,51.062803,2195.921368,16680.98715
California,North Dakota,2022,Current Value (millions of dollars),1080.668543,438.908801,414.484215,1934.061559
California,Ohio,2022,Current Value (millions of dollars),40243.24104,320.814349,10631.91256,51195.96795
California,Oklahoma,2022,Current Value (millions of dollars),7489.341456,0.0106,862.071472,8351.423528
California,Oregon,2022,Current Value (millions of dollars),29375.12494,13.088699,5037.863596,34426.07724
California,Pennsylvania,2022,Current Value (millions of dollars),26326.91755,550.876393,2931.341077,29809.13502
California,Rhode Island,2022,Current Value (millions of dollars),880.214091,0.427818,143.295392,1023.937301
California,South Carolina,2022,Current Value (millions of dollars),6330.534319,114.951537,1151.963439,7597.449295
California,South Dakota,2022,Current Value (millions of dollars),875.789627,23.130466,248.792905,1147.712998
California,Tennessee,2022,Current Value (millions of dollars),13842.88719,5991.815308,15637.16074,35471.86324
California,Texas,2022,Current Value (millions of dollars),75773.56963,6570.539287,21529.8355,103873.9444
California,Utah,2022,Current Value (millions of dollars),21760.95107,1.141383,6100.661801,27862.75425
California,Vermont,2022,Current Value (millions of dollars),622.356081,10.899649,29.012975,662.268705
California,Virginia,2022,Current Value (millions of dollars),13451.39008,551.788018,1015.842334,15019.02043
California,Washington,2022,Current Value (millions of dollars),36206.92398,4802.079816,5272.585737,46281.58953
California,West Virginia,2022,Current Value (millions of dollars),1715.421784,0,204.544542,1919.966326
California,Wisconsin,2022,Current Value (millions of dollars),10663.18439,0.03749,6146.142331,16809.36421
California,Wyoming,2022,Current Value (millions of dollars),1258.03016,0,200.059762,1458.089922
