"sctg2","dms_mode","thousand tons in 1997","thousand tons in 2002","thousand tons in 2007","thousand tons in 2012","thousand tons in 2017","thousand tons in 2018","thousand tons in 2019","thousand tons in 2020","thousand tons in 2021","thousand tons in 2022","thousand tons in 2025","thousand tons in 2030","thousand tons in 2035","thousand tons in 2040","thousand tons in 2045","thousand tons in 2050"
"01-Live animals/fish","1-Truck","103398.6686","103127.6108","106730.9962","99963.0154","89645.0541","91811.4016","95131.8122","95069.926","97196.294","97158.5405","124321.1139","149712.8217","175083.1433","209645.8469","250563.1818","291531.0594"
"01-Live animals/fish","2-Rail","51.8985","9.3249","21.0304","36.6238","0.0843","0.1581","0.4704","0.2581","0.6986","0.0702","0.2166","0.2433","0.2676","0.2925","0.3183","0.3444"
"01-Live animals/fish","3-Water","28.4291","0.5538","0.5079","44.8453","0.0687","0.0175","0.0179","0.0097","0.0122","0","0.0023","0.0025","0.0026","0.0027","0.0028","0.0029"
"01-Live animals/fish","4-Air (include truck-air)","132.5302","35.5146","68.5129","40.2305","12.9387","16.1017","27.0346","36.2429","33.6662","35.4721","14.6796","16.5914","18.4375","20.5572","22.9092","25.4057"
"01-Live animals/fish","5-Multiple modes & mail","20.0014","258.124","52.0221","16.1655","64.6228","57.131","54.8779","53.3714","58.011","63.8877","77.2883","91.576","105.3881","123.4948","144.5413","166.2752"
"01-Live animals/fish","6-Pipeline","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01-Live animals/fish","7-Other and unknown","5.0055","4.8822","6.1928","1.264","193.0806","13.9626","46.2182","51.6644","52.4261","118.8259","239.411","240.3271","241.495","242.6808","243.8861","245.1138"
"02-Cereal grains","1-Truck","628102.0097","615828.9026","767687.4495","724513.5186","1019676.4269","998849.5755","962806.4592","984119.7472","1035020.9804","926539.3832","923844.9593","941976.5493","964597.2586","989498.1651","1016665.1809","1050739.5261"
"02-Cereal grains","2-Rail","157331.4979","182876.9456","167149.3364","180511.4238","189691.9182","190086.1472","171921.0313","182647.6733","184671.1185","173474.4785","178712.9603","185247.529","193264.8649","201639.0591","210752.7436","221027.9937"
"02-Cereal grains","3-Water","78564.3274","109147.23","82791.913","25358.0923","73465.2709","68607.6242","59389.4109","65964.1845","73870.8218","66531.7691","63479.2797","66489.6776","69910.5334","73839.3915","78120.8968","83277.3281"
"02-Cereal grains","4-Air (include truck-air)","4.1444","251.2588","2.7432","37.637","1.2348","86.118","81.6717","65.753","48.3607","36.5677","2.4844","2.8641","3.2542","3.7096","4.2225","4.8128"
"02-Cereal grains","5-Multiple modes & mail","20901.618","24943.1062","34894.9318","15787.0731","39517.967","41260.7011","37650.7288","39710.1879","37293.0596","34944.7162","34366.3678","34853.1855","35633.2904","36409.6393","37501.8994","38854.8138"
"02-Cereal grains","6-Pipeline","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"02-Cereal grains","7-Other and unknown","117.7666","286.1129","34.7385","0.8249","3.9596","0.0081","0.0105","0.0083","0.0111","0.0094","3.8699","4.2126","4.6306","5.0593","5.417","5.829"
"03-Other ag prods.","1-Truck","467922.3643","482203.1102","504708.6184","533585.2479","624820.7481","638181.7765","571051.6053","614977.3243","620898.7461","592091.0577","595425.5626","615345.1153","639320.3034","666331.585","696890.132","730425.5016"
"03-Other ag prods.","2-Rail","20339.1719","29718.5709","17743.1427","26485.2888","56014.4677","55116.6296","52565.2384","59421.5199","60759.5706","58779.9721","53610.434","56336.9068","59526.5029","63169.3154","67516.3666","72138.1133"
"03-Other ag prods.","3-Water","27172.2683","33364.2692","27833.4937","15736.3494","53792.3378","57264.1115","51333.8724","59134.3436","54350.7728","55205.5036","52495.1289","55377.9408","58864.5577","62915.3737","67435.4728","72178.9405"
"03-Other ag prods.","4-Air (include truck-air)","430.7657","112.4308","194.328","168.35","217.3033","209.6213","195.3384","168.7316","185.5495","130.3978","248.9858","277.3003","306.2667","339.3994","377.9394","418.8844"
"03-Other ag prods.","5-Multiple modes & mail","11183.1353","12288.2342","19929.3974","28628.4383","16928.651","16457.4956","14874.998","16069.6175","15619.6919","15496.4377","16708.1855","17971.5978","19426.4861","21038.4774","22888.9949","24766.4742"
"03-Other ag prods.","6-Pipeline","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03-Other ag prods.","7-Other and unknown","1524.8837","1772.3798","1984.668","14.7297","222.6251","3.801","4.2318","29.0663","18.9841","25.3752","167.053","191.8678","221.4116","254.6489","289.8034","327.3942"
"04-Animal feed","1-Truck","208025.6028","219725.7549","222543.4078","284742.129","384087.2433","379619.917","384051.263","387783.3539","376769.7219","377611.9156","434184.794","476118.5929","525289.7419","581239.8334","648628.472","721060.053"
"04-Animal feed","2-Rail","21160.9439","26721.3155","26679.7847","23656.8584","33641.1422","27804.913","28630.7822","28101.7316","30239.7803","26790.5613","38641.2299","43581.0777","49787.6139","57163.9247","65763.2111","74583.1842"
"04-Animal feed","3-Water","4532.6886","2065.1035","1182.8588","1488.4641","9351.297","6238.2051","6117.0321","6651.8644","6554.3903","6544.6603","9923.4608","10867.9924","12159.0311","13634.2409","15275.3863","17151.8826"
"04-Animal feed","4-Air (include truck-air)","24.6459","10.0997","7.1577","302.4135","25.2685","90.5107","110.6698","119.751","167.3232","95.8154","45.2902","50.6883","57.792","66.0768","75.7778","86.7235"
"04-Animal feed","5-Multiple modes & mail","11694.1584","11058.1705","17250.7494","8825.1325","24475.7679","22321.419","22589.4299","22778.9019","22187.6399","22078.3069","27406.5488","30539.5508","34122.6544","38228.3108","42827.9571","47802.7927"
