Origin State,Type,Dest State,Year,Measure Names,Measure Values
Alabama,Domestic,Wyoming,2022,Current Value (millions of dollars),50.795392
Alabama,Domestic,Wisconsin,2022,Current Value (millions of dollars),1950.87237
Alabama,Domestic,West Virginia,2022,Current Value (millions of dollars),408.628033
Alabama,Domestic,Washington,2022,Current Value (millions of dollars),1122.64477
Alabama,Domestic,Virginia,2022,Current Value (millions of dollars),2466.352653
Alabama,Domestic,Vermont,2022,Current Value (millions of dollars),129.525363
Alabama,Domestic,Utah,2022,Current Value (millions of dollars),790.79905
Alabama,Domestic,Texas,2022,Current Value (millions of dollars),12221.964272
Alabama,Domestic,Tennessee,2022,Current Value (millions of dollars),16912.392336
Alabama,Domestic,South Dakota,2022,Current Value (millions of dollars),158.132487
Alabama,Domestic,South Carolina,2022,Current Value (millions of dollars),3860.750631
Alabama,Domestic,Rhode Island,2022,Current Value (millions of dollars),54.046998
Alabama,Domestic,Pennsylvania,2022,Current Value (millions of dollars),3739.155181
Alabama,Domestic,Oregon,2022,Current Value (millions of dollars),579.790294
Alabama,Domestic,Oklahoma,2022,Current Value (millions of dollars),2209.668298
Alabama,Domestic,Ohio,2022,Current Value (millions of dollars),5783.78314
Alabama,Domestic,North Dakota,2022,Current Value (millions of dollars),87.008538
Alabama,Domestic,North Carolina,2022,Current Value (millions of dollars),4807.303969
Alabama,Domestic,New York,2022,Current Value (millions of dollars),1940.090923
Alabama,Domestic,New Mexico,2022,Current Value (millions of dollars),184.484404
Alabama,Domestic,New Jersey,2022,Current Value (millions of dollars),2193.822368
Alabama,Domestic,New Hampshire,2022,Current Value (millions of dollars),248.003623
Alabama,Domestic,Nevada,2022,Current Value (millions of dollars),378.649593
Alabama,Domestic,Nebraska,2022,Current Value (millions of dollars),883.235715
Alabama,Domestic,Montana,2022,Current Value (millions of dollars),135.495483
Alabama,Domestic,Missouri,2022,Current Value (millions of dollars),2304.800263
Alabama,Domestic,Mississippi,2022,Current Value (millions of dollars),17200.187551
Alabama,Domestic,Minnesota,2022,Current Value (millions of dollars),1178.919887
Alabama,Domestic,Michigan,2022,Current Value (millions of dollars),3364.113024
Alabama,Domestic,Massachusetts,2022,Current Value (millions of dollars),1503.742526
Alabama,Domestic,Maryland,2022,Current Value (millions of dollars),1578.339553
Alabama,Domestic,Maine,2022,Current Value (millions of dollars),158.924488
Alabama,Domestic,Louisiana,2022,Current Value (millions of dollars),4159.85605
Alabama,Domestic,Kentucky,2022,Current Value (millions of dollars),3320.707815
Alabama,Domestic,Kansas,2022,Current Value (millions of dollars),901.253291
Alabama,Domestic,Iowa,2022,Current Value (millions of dollars),880.823336
Alabama,Domestic,Indiana,2022,Current Value (millions of dollars),3413.666513
Alabama,Domestic,Illinois,2022,Current Value (millions of dollars),4199.592491
Alabama,Domestic,Idaho,2022,Current Value (millions of dollars),164.54214
Alabama,Domestic,Hawaii,2022,Current Value (millions of dollars),73.824417
Alabama,Domestic,Georgia,2022,Current Value (millions of dollars),34307.447677
Alabama,Domestic,Florida,2022,Current Value (millions of dollars),28806.348054
Alabama,Domestic,District of Columbia,2022,Current Value (millions of dollars),84.624627
Alabama,Domestic,Delaware,2022,Current Value (millions of dollars),436.253571
Alabama,Domestic,Connecticut,2022,Current Value (millions of dollars),316.542565
Alabama,Domestic,Colorado,2022,Current Value (millions of dollars),1157.576451
Alabama,Domestic,California,2022,Current Value (millions of dollars),8344.150447
Alabama,Domestic,Arkansas,2022,Current Value (millions of dollars),2007.369587
Alabama,Domestic,Arizona,2022,Current Value (millions of dollars),1748.948817
Alabama,Domestic,Alaska,2022,Current Value (millions of dollars),16.484882
Alabama,Domestic,Alabama,2022,Current Value (millions of dollars),150529.61065
Alabama,Export,Wisconsin,2022,Current Value (millions of dollars),0.00701
Alabama,Export,Washington,2022,Current Value (millions of dollars),81.515251
Alabama,Export,Virginia,2022,Current Value (millions of dollars),61.542033
Alabama,Export,Vermont,2022,Current Value (millions of dollars),1.440607
Alabama,Export,Texas,2022,Current Value (millions of dollars),2154.900837
Alabama,Export,Tennessee,2022,Current Value (millions of dollars),304.235548
Alabama,Export,South Dakota,2022,Current Value (millions of dollars),0.343994
Alabama,Export,South Carolina,2022,Current Value (millions of dollars),384.358546
Alabama,Export,Rhode Island,2022,Current Value (millions of dollars),0.099234
Alabama,Export,Pennsylvania,2022,Current Value (millions of dollars),55.109135
Alabama,Export,Oregon,2022,Current Value (millions of dollars),4.534233
Alabama,Export,Oklahoma,2022,Current Value (millions of dollars),0
Alabama,Export,Ohio,2022,Current Value (millions of dollars),1.936009
Alabama,Export,North Dakota,2022,Current Value (millions of dollars),440.95876
Alabama,Export,North Carolina,2022,Current Value (millions of dollars),49.000696
Alabama,Export,New York,2022,Current Value (millions of dollars),739.757483
Alabama,Export,New Mexico,2022,Current Value (millions of dollars),0.484353
Alabama,Export,New Jersey,2022,Current Value (millions of dollars),54.103526
Alabama,Export,New Hampshire,2022,Current Value (millions of dollars),0
Alabama,Export,Montana,2022,Current Value (millions of dollars),37.390369
Alabama,Export,Missouri,2022,Current Value (millions of dollars),0.01039
Alabama,Export,Mississippi,2022,Current Value (millions of dollars),106.485308
Alabama,Export,Minnesota,2022,Current Value (millions of dollars),0.585702
Alabama,Export,Michigan,2022,Current Value (millions of dollars),2672.542621
Alabama,Export,Massachusetts,2022,Current Value (millions of dollars),2.756809
Alabama,Export,Maryland,2022,Current Value (millions of dollars),7.57819
Alabama,Export,Maine,2022,Current Value (millions of dollars),74.396963
Alabama,Export,Louisiana,2022,Current Value (millions of dollars),341.763382
Alabama,Export,Kentucky,2022,Current Value (millions of dollars),125.027771
Alabama,Export,Indiana,2022,Current Value (millions of dollars),8.643561
Alabama,Export,Illinois,2022,Current Value (millions of dollars),415.952869
Alabama,Export,Idaho,2022,Current Value (millions of dollars),0
Alabama,Export,Hawaii,2022,Current Value (millions of dollars),7.97184
Alabama,Export,Georgia,2022,Current Value (millions of dollars),10128.137006
Alabama,Export,Florida,2022,Current Value (millions of dollars),878.405598
Alabama,Export,District of Columbia,2022,Current Value (millions of dollars),32.189231
Alabama,Export,Delaware,2022,Current Value (millions of dollars),1.430128
Alabama,Export,Connecticut,2022,Current Value (millions of dollars),0
Alabama,Export,Colorado,2022,Current Value (millions of dollars),0
Alabama,Export,California,2022,Current Value (millions of dollars),310.399324
Alabama,Export,Arizona,2022,Current Value (millions of dollars),65.355645
Alabama,Export,Alaska,2022,Current Value (millions of dollars),28.364783
Alabama,Export,Alabama,2022,Current Value (millions of dollars),6275.188737
Alabama,Import,Wyoming,2022,Current Value (millions of dollars),0
Alabama,Import,Wisconsin,2022,Current Value (millions of dollars),18.026641
Alabama,Import,West Virginia,2022,Current Value (millions of dollars),0
Alabama,Import,Washington,2022,Current Value (millions of dollars),3.706895
Alabama,Import,Virginia,2022,Current Value (millions of dollars),1155.052497
Alabama,Import,Utah,2022,Current Value (millions of dollars),0.695007
Alabama,Import,Texas,2022,Current Value (millions of dollars),1161.075713
Alabama,Import,Tennessee,2022,Current Value (millions of dollars),510.603616
Alabama,Import,South Dakota,2022,Current Value (millions of dollars),0
Alabama,Import,South Carolina,2022,Current Value (millions of dollars),46.493539
Alabama,Import,Rhode Island,2022,Current Value (millions of dollars),1.754259
Alabama,Import,Pennsylvania,2022,Current Value (millions of dollars),37.990205
Alabama,Import,Oregon,2022,Current Value (millions of dollars),0.465691
Alabama,Import,Oklahoma,2022,Current Value (millions of dollars),176.535489
