Origin State,Dest State,Year,Measure Names,Domestic,Export,Import,Sum
Texas,Alabama,2022,Current Value (millions of dollars),11313.29187,159.085529,4885.900138,16358.27754
Texas,Alaska,2022,Current Value (millions of dollars),317.285167,2049.291378,58.806454,2425.382999
Texas,Arizona,2022,Current Value (millions of dollars),13272.76318,727.78407,3422.468291,17423.01554
Texas,Arkansas,2022,Current Value (millions of dollars),15059.38523,0,1759.934646,16819.31988
Texas,California,2022,Current Value (millions of dollars),50035.25954,10832.23575,25380.03773,86247.53302
Texas,Colorado,2022,Current Value (millions of dollars),15558.22232,46.180301,2387.945916,17992.34854
Texas,Connecticut,2022,Current Value (millions of dollars),6973.806136,0,2958.202664,9932.0088
Texas,Delaware,2022,Current Value (millions of dollars),914.445366,38.804942,336.12635,1289.376658
Texas,District of Columbia,2022,Current Value (millions of dollars),236.188658,187.871177,91.763335,515.82317
Texas,Florida,2022,Current Value (millions of dollars),25286.64472,6614.166963,7539.067911,39439.87959
Texas,Georgia,2022,Current Value (millions of dollars),21561.28521,1064.794949,9984.052996,32610.13316
Texas,Hawaii,2022,Current Value (millions of dollars),727.680206,113.02048,13.85721,854.557896
Texas,Idaho,2022,Current Value (millions of dollars),1470.577994,0.064537,257.595073,1728.237604
Texas,Illinois,2022,Current Value (millions of dollars),30424.51873,1112.809676,16201.23806,47738.56647
Texas,Indiana,2022,Current Value (millions of dollars),15694.45976,2.625016,5177.775108,20874.85988
Texas,Iowa,2022,Current Value (millions of dollars),5059.831343,0,2170.440657,7230.272
Texas,Kansas,2022,Current Value (millions of dollars),16345.38804,0.044856,1302.034905,17647.4678
Texas,Kentucky,2022,Current Value (millions of dollars),10085.74098,8367.026855,7541.08865,25993.85649
Texas,Louisiana,2022,Current Value (millions of dollars),130131.3007,2621.399242,2371.366774,135124.0667
Texas,Maine,2022,Current Value (millions of dollars),722.117112,680.98302,82.710917,1485.811049
Texas,Maryland,2022,Current Value (millions of dollars),4428.659224,152.498776,2282.271304,6863.429304
Texas,Massachusetts,2022,Current Value (millions of dollars),7136.1486,6.788535,1803.869106,8946.806241
Texas,Michigan,2022,Current Value (millions of dollars),11707.92342,13608.09744,51256.01416,76572.03502
Texas,Minnesota,2022,Current Value (millions of dollars),9488.233973,49.676084,2996.738269,12534.64833
Texas,Mississippi,2022,Current Value (millions of dollars),11593.79388,113.100976,2352.086062,14058.98092
Texas,Missouri,2022,Current Value (millions of dollars),15218.35826,0.001175,5072.652855,20291.01229
Texas,Montana,2022,Current Value (millions of dollars),1524.913197,1692.50313,93.842182,3311.258509
Texas,Nebraska,2022,Current Value (millions of dollars),5823.958582,0,620.12139,6444.079972
Texas,Nevada,2022,Current Value (millions of dollars),5494.784459,0.643588,1197.031128,6692.459175
Texas,New Hampshire,2022,Current Value (millions of dollars),644.647753,0,253.966005,898.613758
Texas,New Jersey,2022,Current Value (millions of dollars),10499.27262,234.450422,6013.914503,16747.63755
Texas,New Mexico,2022,Current Value (millions of dollars),20276.09865,9612.296636,1499.257086,31387.65237
Texas,New York,2022,Current Value (millions of dollars),11054.23701,3368.764324,4077.133535,18500.13487
Texas,North Carolina,2022,Current Value (millions of dollars),10439.58147,79.721497,11112.34955,21631.65252
Texas,North Dakota,2022,Current Value (millions of dollars),3300.827419,3527.527382,186.015783,7014.370584
Texas,Ohio,2022,Current Value (millions of dollars),27466.87826,309.217603,11226.42448,39002.52034
Texas,Oklahoma,2022,Current Value (millions of dollars),68698.37287,0.05327,5470.139565,74168.56571
Texas,Oregon,2022,Current Value (millions of dollars),3909.974208,0.499149,672.102024,4582.575381
Texas,Pennsylvania,2022,Current Value (millions of dollars),15770.32065,339.68415,5662.656251,21772.66105
Texas,Rhode Island,2022,Current Value (millions of dollars),478.045546,0.787582,110.142283,588.975411
Texas,South Carolina,2022,Current Value (millions of dollars),10321.68862,948.17958,5498.505017,16768.37322
Texas,South Dakota,2022,Current Value (millions of dollars),776.79479,15.287303,90.504328,882.586421
Texas,Tennessee,2022,Current Value (millions of dollars),18003.62943,7114.909517,10623.48135,35742.0203
Texas,Texas,2022,Current Value (millions of dollars),1945943.238,413805.3543,278445.7387,2638194.331
Texas,Utah,2022,Current Value (millions of dollars),13837.96608,0.111951,2964.658274,16802.73631
Texas,Vermont,2022,Current Value (millions of dollars),391.129304,12.459847,52.526843,456.115994
Texas,Virginia,2022,Current Value (millions of dollars),6856.23337,363.866096,3706.317327,10926.41679
Texas,Washington,2022,Current Value (millions of dollars),7027.983836,1706.234269,1111.435967,9845.654072
Texas,West Virginia,2022,Current Value (millions of dollars),2572.347139,0,131.253517,2703.600656
Texas,Wisconsin,2022,Current Value (millions of dollars),7387.4198,3.123556,3559.280474,10949.82383
Texas,Wyoming,2022,Current Value (millions of dollars),2154.930362,0,75.228975,2230.159337
