Origin State,Dest State,Year,Measure Names,Domestic,Export,Import
Alabama,Alabama,2022,Current Value (millions of dollars),150529.6107,6275.188737,13606.22052
Alabama,Alaska,2022,Current Value (millions of dollars),16.484882,28.364783,0.179228
Alabama,Arizona,2022,Current Value (millions of dollars),1748.948817,65.355645,1.719085
Alabama,Arkansas,2022,Current Value (millions of dollars),2007.369587,,60.987079
Alabama,California,2022,Current Value (millions of dollars),8344.150447,310.399324,84.18027
Alabama,Colorado,2022,Current Value (millions of dollars),1157.576451,0.0,9.128543
Alabama,Connecticut,2022,Current Value (millions of dollars),316.542565,0.0,9.335229
Alabama,Delaware,2022,Current Value (millions of dollars),436.253571,1.430128,0.078561
Alabama,District of Columbia,2022,Current Value (millions of dollars),84.624627,32.189231,0.0
Alabama,Florida,2022,Current Value (millions of dollars),28806.34805,878.405598,731.195166
Alabama,Georgia,2022,Current Value (millions of dollars),34307.44768,10128.13701,623.714821
Alabama,Hawaii,2022,Current Value (millions of dollars),73.824417,7.97184,
Alabama,Idaho,2022,Current Value (millions of dollars),164.54214,0.0,0.0
Alabama,Illinois,2022,Current Value (millions of dollars),4199.592491,415.952869,2423.281828
Alabama,Indiana,2022,Current Value (millions of dollars),3413.666513,8.643561,99.306791
Alabama,Iowa,2022,Current Value (millions of dollars),880.823336,,3.098934
Alabama,Kansas,2022,Current Value (millions of dollars),901.253291,,0.896782
Alabama,Kentucky,2022,Current Value (millions of dollars),3320.707815,125.027771,1505.215243
Alabama,Louisiana,2022,Current Value (millions of dollars),4159.85605,341.763382,79.347309
Alabama,Maine,2022,Current Value (millions of dollars),158.924488,74.396963,0.0
Alabama,Maryland,2022,Current Value (millions of dollars),1578.339553,7.57819,219.247148
Alabama,Massachusetts,2022,Current Value (millions of dollars),1503.742526,2.756809,129.645912
Alabama,Michigan,2022,Current Value (millions of dollars),3364.113024,2672.542621,140.609908
Alabama,Minnesota,2022,Current Value (millions of dollars),1178.919887,0.585702,21.435466
Alabama,Mississippi,2022,Current Value (millions of dollars),17200.18755,106.485308,915.477649
Alabama,Missouri,2022,Current Value (millions of dollars),2304.800263,0.01039,28.154199
Alabama,Montana,2022,Current Value (millions of dollars),135.495483,37.390369,0.0
Alabama,Nebraska,2022,Current Value (millions of dollars),883.235715,,33.256528
Alabama,Nevada,2022,Current Value (millions of dollars),378.649593,,4.720745
Alabama,New Hampshire,2022,Current Value (millions of dollars),248.003623,0.0,12.079405
Alabama,New Jersey,2022,Current Value (millions of dollars),2193.822368,54.103526,99.82653
